"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"3149",575,1,5,6,6,NA,2,2,4,2,3,1,0,1,0,3
"545",576,1,4,3,1,1,1,5,1,1,3,0,1,0,0,4
"1746",576,1,4,3,1,1,1,5,1,1,3,0,1,0,1,4
"2348",576,1,4,3,1,1,1,5,1,1,3,0,1,1,1,3
"2547",576,1,4,3,1,1,1,5,1,1,3,1,1,1,1,3
"143",577,1,6,5,4,2,2,3,2,4,3,0,1,0,1,3
"744",577,1,6,5,4,2,2,3,2,4,3,0,0,0,0,4
"2349",577,1,6,5,4,2,2,3,2,4,3,0,1,1,1,3
"2548",577,1,6,5,4,2,2,3,2,4,3,1,1,1,1,3
"946",578,2,5,3,2,2,1,3,5,1,3,1,0,0,0,3
"1948",578,2,5,3,2,2,1,3,5,1,3,0,1,1,0,3
"2149",578,2,5,3,2,2,1,3,5,1,3,0,0,1,1,3
"2749",578,2,5,3,2,2,1,3,5,1,3,1,1,1,0,3
"343",579,2,3,5,3,4,2,3,3,2,3,0,0,0,1,4
"745",579,2,3,5,3,4,2,3,3,2,3,0,0,0,0,4
"1347",579,2,3,5,3,4,2,3,3,2,3,1,0,0,1,4
"1546",579,2,3,5,3,4,2,3,3,2,3,1,1,0,1,2
"1348",580,2,5,4,4,3,3,2,3,1,3,1,0,0,1,2
"2350",580,2,5,4,4,3,3,2,3,1,3,0,1,1,1,1
"2549",580,2,5,4,4,3,3,2,3,1,3,1,1,1,1,1
"3150",580,2,5,4,4,3,3,2,3,1,3,1,0,1,0,2
"144",581,2,4,5,6,NA,2,3,5,1,3,0,1,0,1,2
"947",581,2,4,5,6,NA,2,3,5,1,3,1,0,0,0,2
"1146",581,2,4,5,6,NA,2,3,5,1,3,1,1,0,0,3
"2750",581,2,4,5,6,NA,2,3,5,1,3,1,1,1,0,2
"344",582,1,5,5,5,1,1,5,3,1,5,0,0,0,1,5
"746",582,1,5,5,5,1,1,5,3,1,5,0,0,0,0,5
"1747",582,1,5,5,5,1,1,5,3,1,5,0,1,0,1,5
"2949",582,1,5,5,5,1,1,5,3,1,5,1,0,1,1,3
"546",583,1,6,5,4,3,4,3,2,2,2,0,1,0,0,4
"1547",583,1,6,5,4,3,4,3,2,2,2,1,1,0,1,3
"1949",583,1,6,5,4,3,4,3,2,2,2,0,1,1,0,4
"2150",583,1,6,5,4,3,4,3,2,2,2,0,0,1,1,3
"747",584,1,7,5,6,NA,2,3,3,3,3,0,0,0,0,3
"2151",584,1,7,5,6,NA,2,3,3,3,3,0,0,1,1,3
"2351",584,1,7,5,6,NA,2,3,3,3,3,0,1,1,1,2
"2751",584,1,7,5,6,NA,2,3,3,3,3,1,1,1,0,3
"948",585,2,6,4,6,NA,3,3,4,2,5,1,0,0,0,5
"1147",585,2,6,4,6,NA,3,3,4,2,5,1,1,0,0,4
"1950",585,2,6,4,6,NA,3,3,4,2,5,0,1,1,0,4
"3151",585,2,6,4,6,NA,3,3,4,2,5,1,0,1,0,4
"345",586,1,7,5,6,NA,2,4,3,2,3,0,0,0,1,3
"1349",586,1,7,5,6,NA,2,4,3,2,3,1,0,0,1,3
